lastPrice,stockCode,stockName
33.28,688560,N明冠
49.86,300923,N研奥
16.23,003029,N吉大
53.92,300917,C特发
31.64,688658,N悦康
5.82,300064,ST金刚
5.68,300029,ST天龙
151.59,688333,铂力特
24.34,300313,天山生物
3.48,600139,西部资源
5.89,000591,太阳能
6.33,600333,长春燃气
5.8,002765,蓝黛科技
4.05,600798,宁波海运
10.51,600592,龙溪股份
4.6,000928,中钢国际
5.15,600537,亿晶光电
8.88,603066,音飞储存
17.33,002149,西部材料
5.6,000521,长虹美菱
14.45,600636,国新文化
9.48,002320,海峡股份
47.3,600316,洪都航空
5.02,601101,昊华能源
55.51,000733,振华科技
3.92,600481,双良节能
37.61,603538,美诺华
1.63,002638,*ST勤上
9.56,000821,京山轻机
18.79,300452,山河药辅
7.62,600312,平高电气
9.53,002064,华峰氨纶
32.02,603218,日月股份
2.64,000659,珠海中富
7.71,000012,南  玻Ａ
22.41,300627,华测导航
10.86,600336,澳柯玛
20.22,601615,明阳智能
3.17,000552,靖远煤电
20.34,002625,光启技术
7.08,600121,郑州煤电
4.65,600403,大有能源
6.09,000593,大通燃气
5.87,600379,宝光股份
3.88,002204,大连重工
3.66,600844,丹化科技
31.35,002389,航天彩虹
49.32,603396,金辰股份
4.57,601015,陕西黑猫
77.79,605123,派克新材
11.15,300083,创世纪
7.91,600864,哈投股份
4.29,600428,中远海特
4.85,601179,中国西电
26.37,002493,荣盛石化
34.05,688186,广大特材
27.84,600346,恒力石化
44.12,002773,康弘药业
92.75,300875,捷强装备
13.72,300490,华自科技
25.38,300629,新劲刚
10.89,002318,久立特材
6.41,601001,大同煤业
2.7,600293,三峡新材
26.8,605169,洪通燃气
182.28,603129,春风动力
77.61,603068,博通集成
11.94,002887,绿茵生态
44.9,300470,中密控股
48.91,300552,万集科技
8.75,600733,北汽蓝谷
4.52,600722,金牛化工
25.82,600685,中船防务
5.09,600791,京能置业
4.34,002498,汉缆股份
27.0,002214,大立科技
6.07,002350,北京科锐
11.43,300120,经纬辉开
4.69,300159,新研股份
75.1,300357,我武生物
51.47,300696,爱乐达
41.97,002414,高德红外
28.09,603025,大豪科技
21.5,002643,万润股份
13.14,601636,旗滨集团
50.2,600511,国药股份
37.88,002829,星网宇达
32.27,300593,新雷能
13.35,600903,贵州燃气
48.98,002756,永兴材料
6.57,600971,恒源煤电
17.03,002911,佛燃能源
177.0,688598,金博股份
3.06,601388,怡球资源
6.47,600819,耀皮玻璃
24.18,002240,盛新锂能
5.12,300301,长方集团
21.0,300733,西菱动力
20.0,300397,天和防务
131.7,600486,扬农化工
0.8,600978,*ST宜生
1.4,600157,*ST永泰
2.21,000669,*ST金鸿
22.17,002189,中光学
1.02,002175,ST东网
3.48,000536,*ST华映
7.2,002238,天威视讯
75.65,002714,牧原股份
5.78,002499,*ST科林
3.73,002575,*ST群兴
2.7,600408,ST安泰
230.02,603501,韦尔股份
57.39,300921,C南凌
9.19,600877,ST电能
3.76,600792,云煤能源
2.51,600242,*ST中昌
16.33,600182,S佳通
7.33,002529,*ST海源
11.94,000504,ST生物
18.23,600265,ST景谷
19.75,600416,*ST湘电
46.51,600660,福耀玻璃
4.22,002766,ST索菱
2.54,600290,*ST华仪
1.06,002052,*ST同洲
0.85,000662,*ST天夏
32.42,600118,中国卫星
6.02,000421,南京公用
2.37,002445,*ST中南
14.88,603855,华荣股份
1.08,002470,*ST金正
11.94,000516,国际医学
1.52,600816,*ST安信
34.59,300530,达志科技
1.75,000585,*ST东电
22.77,603565,中谷物流
10.1,600686,金龙汽车
5.08,000927,*ST夏利
6.2,600707,彩虹股份
25.98,600850,华东电脑
47.93,300581,晨曦航空
15.88,003022,联泓新科
16.92,605001,威奥股份
14.66,600926,杭州银行
19.57,000818,航锦科技
122.89,300916,朗特智能
24.96,300427,红相股份
9.1,002549,凯美特气
48.21,300777,中简科技
4.24,000407,胜利股份
8.29,300129,泰胜风能
8.88,600711,盛屯矿业
10.57,603226,菲林格尔
6.52,300495,美尚生态
35.39,300294,博雅生物
87.42,603899,晨光文具
16.64,603706,东方环宇
1.64,002247,*ST聚力
5.82,600125,铁龙物流
31.39,603179,新泉股份
43.23,300671,富满电子
63.03,300853,申昊科技
20.09,603506,南都物业
52.99,002151,北斗星通
159.4,300347,泰格医药
41.32,688158,优刻得-W
62.59,603678,火炬电子
11.05,603038,华立股份
53.03,300567,精测电子
29.1,300001,特锐德
8.0,002097,山河智能
3.2,000965,天保基建
19.92,600641,万业企业
4.54,600237,铜峰电子
9.09,600178,东安动力
9.74,002487,大金重工
12.4,601187,厦门银行
33.95,603665,康隆达
54.83,688116,天奈科技
91.28,300124,汇川技术
8.65,603717,天域生态
3.09,601918,新集能源
131.7,002049,紫光国微
17.22,300101,振芯科技
11.26,603689,皖天然气
1.16,600247,*ST成城
2.91,000558,莱茵体育
15.77,002885,京泉华
9.64,300446,ST乐凯
3.51,002132,恒星科技
20.0,002612,朗姿股份
72.7,300015,爱尔眼科
3.54,600397,安源煤业
28.4,600690,海尔智家
2.96,000150,宜华健康
1.78,002418,*ST康盛
60.12,603187,海容冷链
86.16,300699,光威复材
37.85,002271,东方雨虹
28.64,002831,裕同科技
9.23,002166,莱茵生物
54.54,300502,新易盛
4.64,000613,大东海A
12.61,300414,中光防雷
11.03,002079,苏州固锝
28.19,603131,上海沪工
55.81,300395,菲利华
47.84,000028,国药一致
35.95,000786,北新建材
2.39,002501,*ST利源
7.22,002246,北化股份
5.19,603366,日出东方
47.12,002415,海康威视
5.91,603618,杭电股份
12.56,603053,成都燃气
2.45,002554,惠博普
22.85,600323,瀚蓝环境
9.5,603105,芯能科技
51.58,300806,斯迪克
2.85,601866,中远海发
8.67,002531,天顺风能
7.6,002288,超华科技
39.85,300379,东方通
28.79,600862,中航高科
4.01,002162,悦心健康
171.71,300601,康泰生物
3.31,600758,辽宁能源
33.1,002933,新兴装备
5.15,600681,百川能源
59.5,688378,奥来德
7.44,002363,隆基机械
13.09,603080,新疆火炬
12.74,300342,天银机电
23.37,603393,新天然气
18.85,603568,伟明环保
3.78,601008,连云港
66.2,300910,瑞丰新材
7.2,002608,江苏国信
3.82,300367,ST网力
5.36,000404,长虹华意
17.25,000066,中国长城
68.9,603799,华友钴业
108.8,600276,恒瑞医药
3.51,600651,*ST飞乐
13.65,000626,远大控股
10.62,002331,皖通科技
18.56,601233,桐昆股份
13.43,300123,亚光科技
82.88,688516,奥特维
36.16,002801,微光股份
4.77,601700,风范股份
105.12,603613,国联股份
98.98,002460,赣锋锂业
4.05,600495,晋西车轴
18.25,601698,中国卫通
7.31,000851,高鸿股份
32.5,300489,中飞股份
3.26,600664,哈药股份
34.67,600764,中国海防
9.81,600967,内蒙一机
19.05,603681,永冠新材
4.56,000958,东方能源
13.33,600774,汉商集团
2.92,000767,漳泽电力
20.49,000411,英特集团
14.22,002202,金风科技
8.01,002398,垒知集团
6.76,002003,伟星股份
8.51,600395,盘江股份
157.28,300122,智飞生物
12.04,601606,长城军工
7.34,601139,深圳燃气
11.69,300323,华灿光电
26.88,603110,东方材料
18.22,300138,晨光生物
4.78,000691,亚太实业
10.44,601919,中远海控
6.54,002267,陕天然气
10.07,603619,中曼石油
7.95,600883,博闻科技
4.45,600617,国新能源
50.0,600529,山东药玻
6.27,002300,太阳电缆
5.39,601003,柳钢股份
25.07,300619,金银河
10.94,300177,中海达
20.97,300168,万达信息
7.91,600119,ST长投
5.59,002948,青岛银行
42.0,300862,蓝盾光电
8.87,002893,华通热力
41.18,688066,航天宏图
7.49,600165,新日恒力
9.84,300411,金盾股份
39.4,688567,孚能科技
62.39,300722,新余国科
135.57,603185,上机数控
36.68,003023,彩虹集团
8.96,300221,银禧科技
252.2,601888,中国中免
37.18,603229,奥翔药业
1.43,002535,*ST林重
43.0,603690,至纯科技
15.3,600399,ST抚钢
39.93,603260,合盛硅业
78.62,603233,大参林
15.6,300918,C南山
8.8,002063,远光软件
6.85,600917,重庆燃气
65.65,300474,景嘉微
99.4,600563,法拉电子
32.17,002967,广电计量
7.96,600629,华建集团
1.99,000809,铁岭新城
46.92,603960,克来机电
51.0,300662,科锐国际
5.61,002283,天润工业
79.72,688058,宝兰德
4.1,300185,通裕重工
1.03,601258,ST庞大
5.68,002762,金发拉比
5.69,000725,京东方Ａ
16.64,002157,正邦科技
57.23,300799,左江科技
6.82,600746,江苏索普
14.2,300615,欣天科技
9.53,000519,中兵红箭
10.12,300499,高澜股份
1.07,002356,*ST赫美
11.26,603885,吉祥航空
12.39,600155,华创阳安
38.88,002919,名臣健康
176.08,002371,北方华创
88.6,600309,万华化学
78.6,300616,尚品宅配
20.67,600378,昊华科技
3.27,002490,山东墨龙
25.76,002870,香山股份
36.82,300408,三环集团
11.6,601038,一拖股份
29.01,603228,景旺电子
11.38,300095,华伍股份
44.69,002690,美亚光电
2.3,600575,淮河能源
20.17,601166,兴业银行
20.75,300652,雷迪克
15.59,000713,丰乐种业
33.72,300516,久之洋
13.96,300225,金力泰
18.63,600598,北大荒
2.36,002503,搜于特
20.8,000708,中信特钢
30.5,002601,龙蟒佰利
14.39,600148,长春一东
11.43,002232,启明信息
7.24,300187,永清环保
3.02,600320,振华重工
3.64,601608,中信重工
37.8,002683,宏大爆破
29.27,300879,大叶股份
17.96,300569,天能重工
6.83,000561,烽火电子
24.38,300847,中船汉光
6.88,600168,武汉控股
29.47,600741,华域汽车
26.34,300046,台基股份
3.77,002936,郑州银行
47.94,300855,图南股份
2.53,000630,铜陵有色
264.49,600763,通策医疗
14.56,002124,天邦股份
12.67,600984,建设机械
8.91,601899,紫金矿业
29.99,002190,成飞集成
74.16,002901,大博医疗
47.5,300900,广联航空
277.09,300661,圣邦股份
5.81,601666,平煤股份
19.45,300602,飞荣达
111.71,688311,盟升电子
3.92,600470,*ST六化
3.96,002700,ST浩源
7.98,600483,福能股份
3.33,000545,金浦钛业
601.0,300782,卓胜微
5.37,002130,沃尔核材
4.71,600173,卧龙地产
128.9,603087,甘李药业
3.4,600794,保税科技
201.15,603392,万泰生物
16.38,300698,万马科技
34.23,002142,宁波银行
4.11,000632,三木集团
37.03,300443,金雷股份
15.85,603161,科华控股
12.42,300227,光韵达
9.73,000531,穗恒运Ａ
2.79,600530,*ST交昂
7.68,600268,国电南自
11.89,000703,恒逸石化
14.69,002405,四维图新
4.21,002062,宏润建设
18.26,000001,平安银行
24.68,300115,长盈精密
4.26,601011,宝泰隆
8.52,000811,冰轮环境
22.76,300406,九强生物
8.58,600435,北方导航
25.75,300390,天华超净
8.59,002171,楚江新材
7.29,000099,中信海直
25.53,603016,新宏泰
16.11,000400,许继电气
4.4,600302,标准股份
4.42,002170,芭田股份
6.64,600874,创业环保
34.02,002597,金禾实业
4.44,600583,海油工程
1.48,600090,*ST济堂
8.89,000567,海德股份
14.1,000921,海信家电
108.48,300792,壹网壹创
5.27,603188,ST亚邦
18.85,300019,硅宝科技
17.37,603239,浙江仙通
5.29,601777,*ST力帆
86.32,300482,万孚生物
42.49,002729,好利来
9.12,601577,长沙银行
57.13,300741,华宝股份
40.63,300630,普利制药
8.51,002828,贝肯能源
81.65,300747,锐科激光
23.6,000988,华工科技
12.6,002233,塔牌集团
5.53,300021,大禹节水
3.97,000530,冰山冷热
27.89,603662,柯力传感
153.02,688018,乐鑫科技
21.81,600999,招商证券
25.16,603606,东方电缆
113.0,002975,博杰股份
4.91,300278,华昌达
5.74,600348,阳泉煤业
40.19,603212,赛伍技术
5.76,600217,中再资环
28.97,603722,阿科力
10.77,603677,奇精机械
13.31,300435,中泰股份
4.21,002228,合兴包装
2.53,002716,*ST金贵
65.24,688196,卓越新能
30.71,003019,宸展光电
16.53,603728,鸣志电器
4.35,000875,吉电股份
73.11,600760,中航沈飞
10.51,601838,成都银行
30.97,603313,梦百合
8.87,603167,渤海轮渡
75.79,300618,寒锐钴业
22.53,002853,皮阿诺
4.52,002611,东方精工
10.87,600295,鄂尔多斯
4.53,000791,甘肃电投
7.28,603318,派思股份
14.56,000712,锦龙股份
3.65,000680,山推股份
72.1,002032,苏 泊 尔
12.83,000777,中核科技
7.35,002297,博云新材
5.53,601872,招商轮船
8.3,002090,金智科技
17.56,600876,洛阳玻璃
20.4,300554,三超新材
3.73,601018,宁波港
1.87,600759,洲际油气
11.22,002243,通产丽星
10.41,300045,华力创通
7.59,000933,神火股份
41.9,300648,星云股份
12.5,600532,宏达矿业
10.58,002571,德力股份
16.43,002871,伟隆股份
2.91,601106,中国一重
8.73,600851,海欣股份
6.79,002686,亿利达
137.8,002812,恩捷股份
75.73,600536,中国软件
4.9,600599,*ST熊猫
17.7,600549,厦门钨业
1.97,600871,石化油服
61.31,002311,海大集团
17.9,600988,赤峰黄金
79.71,603486,科沃斯
7.06,603977,国泰集团
15.14,002111,威海广泰
112.2,300496,中科创达
36.46,603297,永新光学
6.1,002068,黑猫股份
33.68,000636,风华高科
7.15,601111,中国国航
7.17,600539,ST狮头
13.32,002332,仙琚制药
7.2,600638,新黄浦
4.12,601989,中国重工
31.0,300523,辰安科技
60.05,688258,卓易信息
92.89,000333,美的集团
2.09,600169,太原重工
11.51,300455,康拓红外
58.64,300638,广和通
5.24,002218,拓日新能
42.4,300762,上海瀚讯
49.07,300895,铜牛信息
74.7,002920,德赛西威
3.21,002060,粤 水 电
1.07,000982,*ST 中绒
14.0,688585,上纬新材
7.56,000408,*ST藏格
1.09,600146,*ST环球
3.27,000422,ST宜化
33.81,603456,九洲药业
3.28,002486,嘉麟杰
3.29,600589,广东榕泰
14.39,300114,中航电测
5.54,000507,珠海港
4.44,601898,中煤能源
4.45,600018,上港集团
11.26,600985,淮北矿业
68.8,603638,艾迪精密
11.36,300265,通光线缆
4.56,600115,东方航空
5.7,002248,华东数控
102.63,601100,恒立液压
8.15,002567,唐人神
6.99,002667,鞍重股份
19.84,300402,宝色股份
15.2,002039,黔源电力
12.94,002736,国信证券
2.36,600815,*ST厦工
13.07,002184,海得控制
10.74,600184,光电股份
20.38,300562,乐心医疗
14.46,002395,双象股份
12.13,601882,海天精工
3.65,002321,华英农业
31.66,002918,蒙娜丽莎
4.92,603993,洛阳钼业
47.99,600882,妙可蓝多
4.98,601002,晋亿实业
6.23,002006,精功科技
66.2,600845,宝信软件
10.0,600501,航天晨光
6.27,601890,亚星锚链
5.02,300048,合康新能
2.55,600317,营口港
6.41,000058,深 赛 格
10.29,600508,上海能源
15.53,300447,全信股份
22.1,603031,安德利
6.54,600387,海越能源
13.18,600966,博汇纸业
25.14,300238,冠昊生物
7.98,002545,东方铁塔
22.71,300901,中胤时尚
29.6,603308,应流股份
8.1,002419,天虹股份
266.27,688188,柏楚电子
13.66,300340,科恒股份
24.59,600363,联创光电
4.1,600635,大众公用
8.21,002753,永东股份
246.61,600436,片仔癀
17.95,600150,中国船舶
2.77,002471,中超控股
4.16,000560,我爱我家
6.97,300320,海达股份
41.85,600161,天坛生物
15.46,000603,盛达资源
68.99,300690,双一科技
30.99,603650,彤程新材
29.65,603505,金石资源
5.66,000600,建投能源
2.87,000677,恒天海龙
4.31,300091,金通灵
20.12,603223,恒通股份
20.12,600621,华鑫股份
20.15,600765,中航重机
30.23,003010,若羽臣
7.22,600367,红星发展
8.71,600107,美尔雅
70.4,300274,阳光电源
470.0,300841,康华生物
144.12,002977,天箭科技
16.21,600933,爱柯迪
13.29,600803,新奥股份
115.61,300598,诚迈科技
25.2,300667,必创科技
15.0,601965,中国汽研
10.56,000697,炼石航空
19.64,000672,上峰水泥
9.11,002066,瑞泰科技
18.58,600267,海正药业
3.1,601016,节能风电
12.46,300400,劲拓股份
43.66,003027,同兴环保
1.56,000806,*ST银河
12.55,002637,赞宇科技
39.54,002241,歌尔股份
4.81,600193,ST创兴
17.66,603992,松霖科技
109.53,000538,云南白药
133.83,300860,锋尚文化
3.24,601228,广州港
14.6,002737,葵花药业
13.35,300415,伊之密
126.2,603259,药明康德
8.43,601908,京运通
37.12,300575,中旗股份
15.23,300632,光莆股份
18.64,300498,温氏股份
11.87,600605,汇通能源
42.57,600036,招商银行
30.7,688586,江航装备
6.83,600515,海航基础
13.75,000987,越秀金控
8.63,600360,华微电子
7.05,002199,东晶电子
7.07,600961,株冶集团
67.32,603583,捷昌驱动
12.41,603848,好太太
19.54,600593,大连圣亚
7.11,601933,永辉超市
12.47,300449,汉邦高科
10.72,603018,华设集团
28.86,002555,三七互娱
12.64,002734,利民股份
34.69,300607,拓斯达
17.11,603322,超讯通信
15.28,002158,汉钟精机
40.79,000710,贝瑞基因
5.88,600997,开滦股份
38.22,600438,通威股份
8.91,603177,德创环保
3.03,600578,京能电力
6.2,603300,华铁应急
12.41,000668,荣丰控股
6.3,601969,海南矿业
3.17,601988,中国银行
6.45,300008,天海防务
71.1,002179,中航光电
22.7,002695,煌上煌
13.19,601808,中海油服
16.58,002544,杰赛科技
6.64,601699,潞安环能
17.03,600482,中国动力
389.45,300760,迈瑞医疗
7.1,603660,苏州科达
179.5,603489,八方股份
7.19,601800,中国交建
15.21,002275,桂林三金
7.84,601009,南京银行
51.38,600585,海螺水泥
4.11,002047,宝鹰股份
12.45,600977,中国电影
20.95,603158,腾龙股份
12.65,600111,北方稀土
4.34,002042,华孚时尚
4.45,600039,四川路桥
13.47,603022,新通联
49.4,688135,利扬芯片
4.52,600693,东百集团
18.26,688218,江苏北人
9.2,000735,罗 牛 山
56.42,002025,航天电器
25.53,600183,生益科技
30.83,300721,怡达股份
41.22,002947,恒铭达
10.34,601717,郑煤机
10.45,002013,中航机电
5.29,600928,西安银行
81.24,002990,盛视科技
5.45,002958,青农商行
22.04,002041,登海种业
5.8,000027,深圳能源
5.82,002309,中利集团
36.73,300669,沪宁股份
18.51,603358,华达科技
6.25,002015,协鑫能科
12.64,603363,傲农生物
700.1,300751,迈为股份
25.87,002778,高科石化
6.59,002639,雪人股份
39.92,601689,拓普集团
13.35,000803,*ST北能
6.75,000905,厦门港务
6.78,600970,中材国际
41.3,605376,博迁新材
13.85,002351,漫步者
7.23,000690,宝新能源
36.31,601601,中国太保
5.74,600123,兰花科创
5.77,002703,浙江世宝
3.86,601218,吉鑫科技
50.36,601021,春秋航空
9.78,002027,分众传媒
155.29,688202,美迪西
5.92,002473,ST圣莱
176.88,300769,德方纳米
4.06,601860,紫金银行
32.68,600031,三一重工
10.22,600188,兖州煤业
4.11,000937,冀中能源
18.57,603377,东方时尚
4.16,601857,中国石油
6.27,601939,建设银行
36.35,300775,三角防务
6.42,600026,中远海能
10.7,002569,ST步森
55.73,002475,立讯精密
73.75,002410,广联达
272.23,000596,古井贡酒
141.65,603658,安图生物
17.59,603909,合诚股份
240.0,688023,安恒信息
6.76,000529,广弘控股
6.83,600552,凯盛科技
9.11,600810,神马股份
6.85,601366,利群股份
4.58,600337,美克家居
6.88,001965,招商公路
6.93,002413,雷科防务
7.03,002383,合众思壮
7.09,000061,农 产 品
7.1,002116,中国海诚
4.77,000737,ST南风
14.59,000878,云南铜业
36.95,603707,健友股份
9.9,000901,航天科技
85.05,300815,玉禾田
27.94,000002,万  科Ａ
5.14,600016,民生银行
18.02,601088,中国神华
5.16,300198,纳川股份
88.55,002850,科达利
13.05,002438,江苏神通
13.2,000789,万年青
7.99,601186,中国铁建
18.65,605116,奥锐特
176.16,603236,移远通信
26.8,002129,中环股份
2.69,601326,秦港股份
65.04,688155,先惠技术
89.73,603939,益丰药房
81.6,300595,欧普康视
13.65,002126,银轮股份
2.74,600518,ST康美
39.68,300810,中科海讯
8.63,002289,ST宇顺
2.91,601212,白银有色
26.32,002867,周大生
26.49,600459,贵研铂业
33.3,603629,利通电子
123.91,603267,鸿远电子
-,688698,伟创电气
-,688686,奥普特
-,688679,通源环境
-,688656,浩欧博
-,688618,三旺通信
-,688617,惠泰医疗
69.3,688396,华润微
80.5,688388,嘉元科技
13.35,688165,埃夫特-U
-,688063,派能科技
49.49,688011,新光光电
-,605377,华旺科技
-,605277,新亚电子
-,605179,一鸣食品
-,605155,西大门
27.74,603915,国茂股份
7.4,000528,柳    工
14.98,002254,泰和新材
7.74,601229,上海银行
8.46,002560,通达股份
8.5,000922,佳电股份
17.18,300191,潜能恒信
8.69,000962,东方钽业
8.77,600458,时代新材
9.18,600377,宁沪高速
9.27,601225,陕西煤业
9.54,000301,东方盛虹
10.88,002999,天禾股份
12.59,600837,海通证券
13.38,600383,金地集团
14.64,002056,横店东磁
15.24,600855,航天长峰
65.96,603520,司太立
18.9,002780,三夫户外
20.72,002878,元隆雅图
50.06,002938,鹏鼎控股
-,600878,*ST北科
